name,createdAt,pullRequests,releases,url
PayloadsAllTheThings,2016-10-18T07:29:07Z,633,3,https://github.com/swisskyrepo/PayloadsAllTheThings
nocode,2018-02-06T23:54:00Z,166,1,https://github.com/kelseyhightower/nocode
awesome-public-datasets,2014-11-20T06:20:50Z,282,1,https://github.com/awesomedata/awesome-public-datasets
imgui,2014-07-21T14:29:47Z,1233,103,https://github.com/ocornut/imgui
echarts,2013-04-03T03:18:59Z,1751,116,https://github.com/apache/echarts
gpt4free,2023-03-29T17:00:43Z,723,149,https://github.com/xtekky/gpt4free
atom,2012-01-20T18:18:21Z,5249,538,https://github.com/atom/atom
scikit-learn,2010-08-17T09:43:38Z,17286,43,https://github.com/scikit-learn/scikit-learn
lodash,2012-04-07T04:11:46Z,1383,2,https://github.com/lodash/lodash
obs-studio,2013-10-01T02:40:31Z,6624,209,https://github.com/obsproject/obs-studio
Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,701,0,https://github.com/h5bp/Front-end-Developer-Interview-Questions
Java,2016-07-16T10:21:02Z,4340,0,https://github.com/TheAlgorithms/Java
sherlock,2018-12-24T14:30:48Z,1002,1,https://github.com/sherlock-project/sherlock
awesome-cpp,2014-07-17T08:51:11Z,890,0,https://github.com/fffaraz/awesome-cpp
jquery,2009-04-03T15:20:14Z,3022,10,https://github.com/jquery/jquery
openai-cookbook,2022-03-11T02:08:53Z,833,0,https://github.com/openai/openai-cookbook
angular.js,2010-01-06T00:34:37Z,7923,0,https://github.com/angular/angular.js
tabby,2016-12-23T09:06:10Z,3913,190,https://github.com/Eugeny/tabby
design-resources-for-developers,2020-05-06T14:40:35Z,1339,0,https://github.com/bradtraversy/design-resources-for-developers
shadowsocks-windows,2013-01-14T07:54:16Z,481,55,https://github.com/shadowsocks/shadowsocks-windows
awesome-nodejs,2014-07-11T13:35:34Z,1107,0,https://github.com/sindresorhus/awesome-nodejs
fuel-core,2020-08-27T21:12:14Z,1378,99,https://github.com/FuelLabs/fuel-core
caddy,2015-01-13T19:45:03Z,2393,120,https://github.com/caddyserver/caddy
Apollo-11,2014-04-03T15:45:02Z,438,0,https://github.com/chrislgarry/Apollo-11
SecLists,2012-02-19T01:30:18Z,767,25,https://github.com/danielmiessler/SecLists
uptime-kuma,2021-07-03T01:02:42Z,1498,106,https://github.com/louislam/uptime-kuma
awesome-courses,2014-11-15T18:36:49Z,251,0,https://github.com/prakhar1989/awesome-courses
AppFlowy,2021-06-16T12:56:48Z,3477,85,https://github.com/AppFlowy-IO/AppFlowy
cs-self-learning,2021-10-20T13:43:42Z,292,4,https://github.com/PKUFlyingPig/cs-self-learning
html5-boilerplate,2010-01-24T18:03:24Z,1728,34,https://github.com/h5bp/html5-boilerplate
spring-framework,2010-12-08T04:04:45Z,4913,312,https://github.com/spring-projects/spring-framework
docusaurus,2017-06-20T16:13:53Z,6097,144,https://github.com/facebook/docusaurus
alacritty,2016-02-18T05:02:30Z,2342,93,https://github.com/alacritty/alacritty
llama,2023-02-14T09:29:12Z,144,0,https://github.com/meta-llama/llama
rails,2008-04-11T02:19:47Z,34539,127,https://github.com/rails/rails
